,id,random_numbers,random_text,logical_values
1,1,798,O5v3U,TRUE
2,2,75,rWxqH,FALSE
3,3,944,50jjU,FALSE
4,4,417,I7kJs,TRUE
5,5,553,75QjX,FALSE
6,6,195,HQvk8,TRUE
7,7,305,pDak5,TRUE
8,8,114,cvOji,TRUE
9,9,313,TxOw5,TRUE
10,10,470,h8rOz,TRUE
11,11,874,vHCDC,FALSE
12,12,512,zdlmL,FALSE
13,13,677,rMMLG,FALSE
14,14,442,Bgyuw,FALSE
15,15,44,mSjUe,FALSE
16,16,514,tBVEC,FALSE
17,17,9,y5lPn,TRUE
18,18,828,RSswN,TRUE
19,19,568,jynuB,FALSE
20,20,603,6qiv8,TRUE
21,21,897,IHR4y,TRUE
22,22,905,WfMz4,FALSE
23,23,630,Q1Jvv,FALSE
24,24,582,mEEFJ,TRUE
25,25,404,6DQ1J,TRUE
26,26,439,bh7xI,TRUE
27,27,702,A9lMs,TRUE
28,28,32,CzbY9,TRUE
29,29,514,59WVa,FALSE
30,30,370,jvyr5,FALSE
31,31,401,lZuig,TRUE
32,32,674,WlVWM,TRUE
33,33,765,jiYcn,TRUE
34,34,365,dZojZ,FALSE
35,35,447,xoayl,TRUE
36,36,866,fdpYO,FALSE
37,37,273,GJ9Ir,FALSE
38,38,729,bMSfn,TRUE
39,39,591,ephWL,FALSE
40,40,299,wtjbR,FALSE
41,41,42,ePfc6,FALSE
42,42,474,0g8d1,FALSE
43,43,760,QVo48,FALSE
44,44,379,FCB7W,TRUE
45,45,858,BwpaH,FALSE
46,46,997,wYayl,FALSE
47,47,216,RDpKM,TRUE
48,48,509,LEX3i,FALSE
49,49,772,SjUIX,FALSE
50,50,727,QB3Mw,TRUE
51,51,46,nToNc,FALSE
52,52,730,0kw1R,TRUE
53,53,685,QKJgx,FALSE
54,54,63,bRIPX,TRUE
55,55,935,4FZPs,FALSE
56,56,267,62STq,FALSE
57,57,262,uvjEL,FALSE
58,58,554,9HOld,FALSE
59,59,247,9xjTP,TRUE
60,60,788,se0Xl,TRUE
61,61,409,kMrPI,FALSE
62,62,580,Ff5WQ,FALSE
63,63,655,yQETB,FALSE
64,64,629,ILOse,TRUE
65,65,597,as8Rf,FALSE
66,66,850,bAKrq,FALSE
67,67,117,7dxrE,TRUE
68,68,984,4qfNg,TRUE
69,69,515,CU8bk,TRUE
70,70,689,9xx0H,TRUE
71,71,678,UYEmL,FALSE
72,72,864,vP1yj,TRUE
73,73,636,h0r5v,TRUE
74,74,48,DKtfx,TRUE
75,75,705,reiWF,FALSE
76,76,954,DXJ0B,TRUE
77,77,717,VlCaR,FALSE
78,78,748,j21lN,FALSE
79,79,212,DMvEo,FALSE
80,80,181,gCnIo,FALSE
81,81,355,M3rti,FALSE
82,82,810,iM3Tk,TRUE
83,83,675,SZtfN,TRUE
84,84,834,aKUbC,FALSE
85,85,424,EgLUX,FALSE
86,86,621,NIRop,FALSE
87,87,80,ImauT,TRUE
88,88,209,3X6Hz,FALSE
89,89,957,XGL5y,TRUE
90,90,255,56C6d,FALSE
91,91,645,ziHsZ,FALSE
92,92,316,3P03s,TRUE
93,93,947,8miva,TRUE
94,94,597,qEBua,TRUE
95,95,585,R491L,TRUE
96,96,608,J6UVQ,TRUE
97,97,441,Jjek5,FALSE
98,98,370,dD519,FALSE
99,99,40,EVhEF,FALSE
100,100,819,3H1if,FALSE
101,101,501,JKZre,TRUE
102,102,932,vkdMH,FALSE
103,103,161,IhR5K,TRUE
104,104,950,yLEv6,FALSE
105,105,268,YgpJ3,TRUE
106,106,130,LZ8GS,FALSE
107,107,252,6Eibj,TRUE
108,108,589,ictVf,TRUE
109,109,206,b4Z0G,TRUE
110,110,468,JPHVj,TRUE
111,111,152,Aflpc,FALSE
112,112,259,tSbqX,TRUE
113,113,889,7e9T3,TRUE
114,114,418,E3QV8,FALSE
115,115,899,DwhaQ,TRUE
116,116,819,0es6g,FALSE
117,117,55,grajY,FALSE
118,118,331,Ytuk7,FALSE
119,119,124,K4buM,TRUE
120,120,750,SHnqX,TRUE
121,121,365,Z42D0,TRUE
122,122,281,3Q0un,FALSE
123,123,148,HKwFN,TRUE
124,124,809,gb8fY,FALSE
125,125,512,d81YF,FALSE
126,126,197,7RnED,TRUE
127,127,175,ggb1l,FALSE
128,128,85,R4fKp,TRUE
129,129,871,sQppn,TRUE
130,130,560,mL6VE,FALSE
